blend_name,company_name,description,flavors,vendor_location,notes,origin,price,review_date,roast,vendor_phone,vendor_website
Esmeralda Estate Porton Geisha Natural,Dragonfly Coffee Roasters,"Rich-toned, cleanly fruit-forward, intricately balanced. Concord grape, pungent myrrh, roasted cacao nib, honeysuckle, candy cap mushroom in aroma and cup. Deeply sweet-tart structure with bright, juicy acidity; plush, syrupy mouthfeel. The resonant, flavor-saturated finish rings on with all of the notes from the cup.","['Fruity', 'Chocolatey', 'Floral', 'Earthy/Herbal']","Boulder, Colorado","['Grape', 'Cacao', 'Honeysuckle', 'Mushroom']","Boquete growing region, western Panama",$75.00/8 ounces,October 2018,Medium-Light,303-579-2154,www.dragonflycoffeeroasters.com
Kenya Kiambu,Revel Coffee,"Deeply sweet, richly savory. Red currant, lavender, baker’s chocolate, cedar, maple syrup in aroma and cup. Bittersweet structure with crisp, lively acidity; full, creamy mouthfeel. The finish leads with notes of red currant and baker’s chocolate in the short, with pretty hints of lavender in the long.","['Floral', 'Chocolatey', 'Earthy/Herbal']","Billings, Montana","['Lavender', 'Chocolate', 'Cedar']","Kiambu County, south-central Kenya",$16.75/12 ounces,October 2018,Medium-Light,406-534-9621,www.revelcoffee.com
Ethiopia Washed Phoenix Special “Muse”,Simon Hsieh's Aroma Roast Coffees,"Evaluated as espresso. Balanced, rich-toned, floral. Jasmine, vanilla, pink grapefruit zest, cedar, dark chocolate in aroma and small cup. Delicate, lively mouthfeel; long, flavor-saturated finish. In cappuccino-scaled milk, notes of jasmine and vanilla take center stage, supported by dark chocolate.","['Floral', 'Sweet', 'Fruity', 'Earthy/Herbal', 'Chocolatey']","Taoyuan City, Taiwan","['Jasmine', 'Vanilla', 'Grapefruit', 'Cedar', 'Chocolate']","Gedeb District, Gedeo Zone, southern Ethiopia",NT $1400/16 ounces,October 2018,Medium-Dark,886-0983-749876,
Kenya AB Phoenix Special “Glory”,Simon Hsieh's Aroma Roast Coffees,"Evaluated as espresso. Deeply and richly sweet-savory. Blackberry, roasted cacao nib, tamarind, sandalwood, pistachio in aroma and small cup. Crisp but velvety-smooth mouthfeel; rich, resonant, flavor-laden finish. Berry and cocoa notes lead in cappuccino-scaled milk, followed by an intriguing hint of sandalwood.","['Fruity', 'Chocolatey']","Taoyuan City, Taiwan","['Blackberry', 'Cacao', 'Tamarind', 'Cocoa']","Kirinyaga District, south-central Kenya",NT $1500/16 ounces,October 2018,Medium-Dark,886-0983-749876,
Kenya Ritho FCS Handege Factory AB,Kakalove Cafe,"Deeply sweet-savory, energetic. Black currant, roasted cacao nib, star jasmine, almond butter, frankincense in aroma and cup. Richly sweet in structure with savory undertones and bright, lyrical acidity; full, creamy mouthfeel. Flavor-laden finish maintains the integrity of the cup well into the long.","['Chocolatey', 'Floral', 'Nutty', 'Sweet']","Chia-Yi, Taiwan","['Cacao', 'Jasmine', 'Almond', 'Butter']","Thika growing region, central Kenya",NT $375/8 ounces,October 2018,Medium-Light,,www.kakalovecafe.com.tw
Ethiopia Yirgacheffe Botabaa Washed,Kakalove Cafe,"Richly sweet-tart, floral-toned. Honeysuckle, mango, sandalwood, maple syrup, almond brittle in aroma and cup. Sweetly tart structure with juicy, high-toned acidity; full, syrupy mouthfeel. The resonant, flavor-saturated finish retains all of the nuance and flavor notes of the cup.","['Floral', 'Fruity', 'Nutty']","Chia-Yi, Taiwan","['Honeysuckle', 'Mango', 'Almond']","Gedeo Zone, Kochere, Ethiopia",NT $290/8 ounces,October 2018,Light,,www.kakalovecafe.com.tw
Ethiopia Hambela Natural,Big Shoulders Coffee,"Richly fruit-toned, deeply sweet. Dried raspberry, dark chocolate, cedar, freesia, honey in aroma and cup. Sweet-tart in structure, with lively acidity; full, syrupy mouthfeel. The resonant finish consolidate to notes of dried berries and dark chocolate, with undercurrents of fresh-cut aromatic wood.","['Fruity', 'Chocolatey', 'Earthy/Herbal', 'Sweet']","Chicago, Illinois","['Raspberry', 'Chocolate', 'Cedar', 'Honey']","Hambela Wamena District, Guji Zone, Oromia region, southern Ethiopia",$18.00/12 ounces,October 2018,Medium-Light,312-888-3042,www.bigshoulderscoffee.com
Ethiopia Gera Limmu Oromia,Temple Coffee and Tea,"Delicate, intricate, richly sweet. Dried jasmine, mango chutney, myrrh, baker’s chocolate, bergamot in aroma and cup. Sweetly tart structure with lively acidity; delicate, satiny mouthfeel. Tart-leaning, rich-toned finish, characterized by notes of mango chutney and baker’s chocolate.","['Floral', 'Fruity', 'Chocolatey', 'Earthy/Herbal']","Sacramento, Californiaa","['Jasmine', 'Mango', 'Chocolate', 'Bergamot']","Limu Woreda, Oromia region, southwest Ethiopia",$17.50/12 ounces,September 2018,Medium-Light,916-454-1282,www.templecoffee.com
Kenya Kabare Konyu,Temple Coffee and Tea,"Richly sweet, spice-toned. Black currant, blood orange zest, roasted cacao nib, freesia-like flowers, sugar cane in aroma and cup. Sweet-tart in structure with juicy, bright acidity; full, syrupy mouthfeel. The crisp, resonant finish consolidates to cocoa-toned black currant and freesia.","['Fruity', 'Chocolatey']","Sacamento, California","['Orange', 'Cacao']","Kirinyaga District, south-central Kenya",$20.50/12 ounces,September 2018,Medium-Light,916-454-1282,www.templecoffee.com
Alemu Bukato Espresso,JBC Coffee Roasters,"Evaluated as espresso. Richly sweet, balanced, floral-toned. Dried jasmine, Concord grape, fine musk, mango, tangerine zest in aroma and small cup. Lively, silky-smooth mouthfeel; resonant, flavor-saturated finish. In cappuccino-scaled milk, jasmine and mango notes are further amplified, deepened by pungent musk underneath.","['Floral', 'Fruity']","Madison, Wisconsin","['Jasmine', 'Grape', 'Mango', 'Tangerine']","Yirgacheffe growing region, southern Ethiopia",$18.75/12 ounces,September 2018,Medium-Light,608-256-5282,www.jbccoffeeroasters.com
Tarime Tanzania,Lexington Coffee Roasters,"Deeply rich, sweet-savory, nuanced and layered. Dried mango, scent of fresh cigar, lemon verbena, pink grapefruit zest, wisteria-like flowers in aroma and cup. Balanced, sweetly savory structure with a crisp yet syrupy mouthfeel. The resonant finish maintains all of the complexity of the cup.",['Fruity'],"Lexington, Virginia","['Mango', 'Lemon', 'Grapefruit']","Tarime District, Mara Region, Tanzania",$14.75/12 ounces,September 2018,Medium-Light,800-322-6505,www.lexingtoncoffee.com
Berlina Geisha,Barrington Coffee Roasting,"Elegant, intensely sweet-tart, resonantly floral-toned. Passionflower, lemon drop, roasted cacao nib, apricot, tamarind in aroma and cup. Sweet-tart structure with bright, juicy acidity; silky, viscous mouthfeel. The finish is resonant with all the flavor notes promised by the cup, leading with apricot and tamarind in the short, cocoa nib in the long, and sweet florals throughout.","['Fruity', 'Chocolatey']","Lee, Massachusetts","['Lemon', 'Cacao', 'Apricot', 'Tamarind', 'Cocoa']","Horqueta, Chiriquí, Boquete, Panama",$13.34/4 ounces,September 2018,Medium-Light,800-528-0998,www.barringtoncoffee.com
Gatugi Triple,Barrington Coffee Roasting,"Bright, crisply sweet-savory. Black currant, honeysuckle, ripe tomato, spearmint, cedar in aroma and cup. Equal parts sweet, savory and tart in structure with lively acidity; plush, syrupy mouthfeel. Notes of black currant and honeysuckle carry the resonant, flavor-saturated finish.","['Floral', 'Earthy/Herbal']","Lee, Massachusetts","['Honeysuckle', 'Cedar']","Nyeri growing region, south-central Kenya",$13.34/4 ounces,September 2018,Light,800-528-0998,www.barringtoncoffee.com
Ethiopia Yirgacheffe Natural Espresso,Dragonfly Coffee Roasters,"Evaluated as espresso. Elegantly fruit-toned and floral. Dried apricot, lychee, sandalwood, cashew butter, honeysuckle in aroma and small cup. Plush, creamy mouthfeel; rich, resonant finish driven predominantly by notes of dried apricot and sandalwood. In three parts milk, an intriguing marjoram-like note surfaces, along with notes of deep fruit, aromatic wood, and a distinct sweet floral.","['Fruity', 'Nutty', 'Sweet', 'Floral']","Boulder, Colorado","['Apricot', 'Lychee', 'Cashew', 'Butter', 'Honeysuckle']","Yirgacheffe growing region, southern Ethiopia",$18.00/12 ounces,September 2018,Medium-Light,303-579-2154,www.dragonflycoffeeroasters.com
Ethiopia Yirgacheffe Natural,Dragonfly Coffee Roasters,"Sweet, deeply and complexly fruit-toned. Very ripe strawberry, pineapple guava, dark chocolate, distinct lavender-like flowers, aromatic cedar in aroma and cup. Roundly sweet in structure, with a gentle and pleasing bitter edge. Full, plush mouthfeel. Lavender and chocolate dominate in a faintly and pleasantly spirits-tinged finish.","['Fruity', 'Chocolatey', 'Earthy/Herbal', 'Floral']","Boulder, Colorado","['Strawberry', 'Pineapple', 'Chocolate', 'Cedar', 'Lavender']","Yirgacheffe growing region, southern Ethiopia",$18.00/12 ounces,September 2018,Medium-Light,303-579-2154,www.dragonflycoffeeroasters.com
Guatemala Finca El General Lot ALT8 Espresso,Kakalove Cafe,"Evaluated as espresso. Chocolaty, floral-toned. Plumeria, baker’s chocolate, tangerine zest, fresh-cut cedar, tamarind in aroma and small cup. Crisp, syrupy mouthfeel; sweetly tart finish with notes of tamarind and baker’s chocolate. In three parts milk, rich chocolate tones provide ballast for tart tamarind, and plumeria notes elevate the whole with pervasive sweetness.","['Chocolatey', 'Fruity', 'Earthy/Herbal']","Chia-Yi, Taiwan","['Chocolate', 'Tangerine', 'Cedar', 'Tamarind']","Acatenango growing region, central Guatemala",NT $275/8 ounces,September 2018,Medium-Light,,www.kakalovecafe.com.tw
Green Dolphin Blend Espresso,Kakalove Cafe,"Evaluated as espresso. High-toned, richly sweet. Narcissus, dark chocolate, dried apricot, roasted hazelnut, pink grapefruit zest in aroma and small cup. Crisp, lively mouthfeel; resonant finish that consolidates to pink grapefruit zest and narcissus. In cappuccino-scaled milk, dark chocolate blooms in harmony with deep florals and hints of dried stone fruit.","['Chocolatey', 'Fruity', 'Nutty']","Chia-Yi, Taiwan","['Chocolate', 'Apricot', 'Hazelnut', 'Grapefruit']",Ethiopia; Kenya; Colombia; Nicaragua; Sumatra,NT $240/8 ounces,September 2018,Medium-Light,,www.kakalovecafe.com.tw
Finca El Socorro Maracaturra,PT's Coffee Roasting,"Richly sweet, balanced, intricately layered. Frankincense, almond nougat, honeysuckle, dried black cherry, roasted cacao nib in aroma and cup. Balanced, sweet-savory structure with juicy acidity; plush, syrupy mouthfeel. The resonant, cocoa-toned finish is supported by notes of dried black cherry and honeysuckle.","['Nutty', 'Sweet', 'Floral', 'Fruity', 'Chocolatey']","Topeka, Kansas","['Almond', 'Nougat', 'Honeysuckle', 'Cherry', 'Cacao']","Palencia, Fraijanes Plateau growing region, central Guatemala",$22.50/12 ounces,September 2018,Medium-Light,888-678-5282,www.ptscoffee.com
Ethiopia Kochere Debo Washed Gellana,Kakalove Cafe,"Delicately rich, crisply sweet. Star jasmine, lemon zest, peach, sandalwood, almond in aroma and cup. Roundly and sweetly tart in structure; lightly silky in mouthfeel. Lemon, peach and sandalwood in particular carry into a long finish, deeply layered finish.","['Floral', 'Fruity', 'Nutty']","Chia-Yi, Taiwan","['Jasmine', 'Lemon', 'Peach', 'Almond']","Yirgacheffe growing region, southern Ethiopia",NT $550/16 ounces,September 2018,Medium-Light,,www.kakalovecafe.com.tw
Ethiopia Gotiti Natural,Green Stone Coffee,"Richly floral- and berry-toned, impeccably balanced. Violet, blackberry, honey, clove, salted chocolate in aroma and cup. Sweet-tart structure with rounded, lively acidity; plush, syrupy mouthfeel. The finish leads with notes of violet and blackberry in the short, modulating to salted chocolate in the long.","['Fruity', 'Sweet', 'Spice', 'Chocolatey']","Taipei, Taiwan","['Blackberry', 'Honey', 'Clove', 'Chocolate']","Yirgacheffe growing region, southern Ethiopia",NT $580/8 ounces,August 2018,Medium,,www.greenstone
Cream Tabby Espresso Blend,MoonMoon Coffee,"Evaluated as espresso. Sweetly and deeply tart, floral and chocolaty. Passion fruit, dark chocolate, cedar, lilac, myrrh in aroma and small cup. Syrupy though rather dry in the mouthfeel; richly tart in the finish. Remains bright in three parts milk: chocolate, cedar and flowers.","['Chocolatey', 'Earthy/Herbal']","New Taipei City, Taiwan","['Chocolate', 'Cedar']",Ethiopia; Kenya,NT $400/225 gram,August 2018,Medium-Light,,
Ethiopia Girma Eshetu,Propeller Coffee,"Delicate, richly aromatic, sweetly tart. Lavender, strawberry, roasted cacao nib, lemon zest, sandalwood in aroma and cup. Balanced, sweetly tart in structure with bright, vibrant acidity; silky-smooth mouthfeel. The crisp, cocoa-toned finish is redolent of lavender and strawberry in the short, lemon zest and sandalwood in the long, all supported by cocoa tones throughout.","['Floral', 'Fruity', 'Chocolatey']","Toronto, Ontario, Canada","['Lavender', 'Strawberry', 'Cacao', 'Lemon', 'Cocoa']","Bita Genet District, Keffa Zone, southwestern Ethiopia",CAD $21.00/12 ounces,August 2018,Medium-Light,416-479-3771,www.propellercoffee.com
Karimikui Espresso,JBC Coffee Roasters,"Evaluated as espresso. Crisply sweet, richly floral-toned. Lavender, dark chocolate, red currant, almond butter, pink grapefruit zest in aroma and small cup. Delicate, viscous mouthfeel; richly drying finish centers around notes of tart fruit, dark chocolate and bittersweet, lavender-like flowers. Chocolaty and floral in three parts milk, with ongoing tart-fruit notes as well.","['Floral', 'Chocolatey', 'Nutty', 'Sweet', 'Fruity']","Madison, Wisconsin","['Lavender', 'Chocolate', 'Almond', 'Butter', 'Grapefruit']","Kirinyaga District, south-central Kenya",$19.50/12 ounces,August 2018,Medium-Light,608-256-5282,www.jbccoffeeroasters.com
Ethiospro Blend,Revel Coffee,"Evaluated as espresso. Bright, floral, spice-toned. Spearmint, black cherry, cedar, tangerine zest, plumeria-like flowers in aroma and small cup. Plush and buttery in mouthfeel. Flavor consolidates to cocoa-toned citrus in a resonant finish. In three parts milk, an elegant cocoa surfaces, with supporting notes of sweet flowers and a hint of pungent cedar.","['Fruity', 'Earthy/Herbal', 'Chocolatey']","Billings, Montana","['Cherry', 'Cedar', 'Tangerine', 'Cocoa']",Ethiopia,$17.75/12 ounces,August 2018,Medium-Light,406-534-9621,www.revelcoffee.com
Costa Rica Cumbres Del Poas “Perla Negra” Natural,Magnolia Coffee,"Evaluated as espresso. Bright, richly sweet, fruit- and cocoa-toned. Pomegranate, dark chocolate, narcissus, hazelnut, vanilla in aroma and small cup. Plush, creamy mouthfeel; sweetly tart finish with notes of pomegranate and hazelnut. Resonant and flavor-saturated in three parts milk; chocolate and tart fruit lead, with narcissus-like flowers ringing into the long finish.","['Fruity', 'Chocolatey', 'Nutty', 'Sweet']","Charlotte, North Carolina","['Pomegranate', 'Chocolate', 'Hazelnut', 'Vanilla']","Sabanilla de Alajuela growing region, Costa Rica",$18.00/12 ounces,August 2018,Medium-Light,704-651-7726,www.magnoliacoffeeco.com
Natural Sidamo Twakok G1,Kakalove Cafe,"Evaluated as espresso. Richly floral, spice-toned. Lavender, baker’s chocolate, dried strawberry, sandalwood, lemon zest in aroma and small cup. Full, syrupy mouthfeel; dry, fruit-toned finish with hints of sandalwood. In three parts milk, chocolate notes turn toward sweet caramel and the spicy floral and dried berry notes amplify.","['Floral', 'Chocolatey', 'Fruity', 'Sweet']","Chia-Yi, Taiwan","['Lavender', 'Chocolate', 'Strawberry', 'Lemon', 'Caramel']","Sidamo (also Sidama) growing region, south-central Ethiopia",NT $520/16 ounces,August 2018,Light,,www.kakalovecafe.com.tw
Yemen Haraaz,Dragonfly Coffee Roasters,"Evaluated as espresso. Apricot, lychee, sandalwood, cashew butter, honeysuckle in aroma and small cup. Creamy-smooth mouthfeel; rich finish that surfaces herb notes suggesting marjoram, along with lychee and apricot. In three parts milk, this coffee is fruit-driven, its tartness tempered by honeysuckle and sandalwood notes.","['Fruity', 'Nutty', 'Sweet', 'Floral']","Boulder, Colorado","['Apricot', 'Lychee', 'Cashew', 'Butter', 'Honeysuckle']",Central Yemen,$35.00/12 ounces,August 2018,Medium-Light,303-579-2154,www.dragonflycoffeeroasters.com
YCFCU Banko Gotiti Coop G1,Taokas Coffee,"Evaluated as espresso. Lush, complex, richly sweet-savory. Peach, fine musk, cocoa powder, freesia-like flowers, pungent frankincense in aroma and small cup. Plump, syrupy mouthfeel; clean, crisp, cocoa-toned finish. The cocoa notes from the small cup bloom into dark chocolate in cappuccino-scaled milk, nicely complicated by flowers and frankincense.","['Fruity', 'Chocolatey']","Zhubei City, Taiwan","['Peach', 'Cocoa', 'Chocolate']","Yirgacheffe growing region, southern Ethiopia",NT $850/16 ounces,August 2018,Medium-Dark,,
Gesha Village Lot #25,Small Eyes Cafe,"Evaluated as espresso. Rose-like flowers, chocolate fudge, cannabis flower, black cherry, fresh-cut cedar in aroma and small cup. Syrupy, vibrant mouthfeel; richly drying, sweet-savory finish. This coffee levitates in three parts milk, with rich notes of rose-like flowers ensconced in deep chocolate and a cannabis-like muskiness.","['Chocolatey', 'Fruity', 'Earthy/Herbal']","Yilan, Taiwan","['Chocolate', 'Cherry', 'Cedar']","Guji Zone, Oromia Region, south-central Ethiopia",NT $1500/8 ounces,August 2018,Medium-Light,,
Costa Rica Perla Negra,Durango Coffee Company,"Evaluated as espresso. Deeply rich, crisply sweet, fruit- and chocolate-toned. Dried mango, chocolate fudge, narcissus-like flowers, roasted almond, fresh-cut cedar in aroma and small cup. Lively, silky smooth mouthfeel; resonant, flavor-saturated finish. The chocolate-forward presentation in three parts milk is nuanced by notes of mango and fresh-cut cedar.","['Fruity', 'Chocolatey', 'Nutty', 'Earthy/Herbal']","Durango, Colorado","['Mango', 'Chocolate', 'Almond', 'Cedar']","Sabanilla de Alajuela growing region, Costa Rica",$16.95/12 ounces,August 2018,Medium,800-748-2275,www.durangocoffee.com
Espresso 1849 Blend,States Coffee & Mercantile,"Evaluated as espresso. Vibrant and engaging; richly sweet-tart. Pomegranate, dark chocolate, blood orange zest, narcissus, sandalwood in aroma and small cup. Plush, syrupy mouthfeel; crisp, resonant finish. In three parts milk, both chocolate and floral tones bloom, supported by hints of spicy citrus zest and aromatic wood notes.","['Fruity', 'Chocolatey']","Martinez, California","['Pomegranate', 'Chocolate', 'Orange']",Guatemala; Ethiopia,$12.00/8 ounces,August 2018,Medium,,www.statescoffee.com
Ethiopia Kayon Mountain,Red Rooster Coffee Roaster,"Elegant, intricately rich. Lemon verbena, raw honey, mango, star jasmine, roasted cacao nib in aroma and cup. Vibrantly sweet-tart in structure with juicy acidity; syrupy mouthfeel. The crisp, cocoa-toned finish consolidates to notes of lemon verbena and jasmine.","['Fruity', 'Sweet', 'Floral', 'Chocolatey']","Floyd, Virginia","['Lemon', 'Honey', 'Mango', 'Jasmine', 'Cacao']","Odo Shakiso District, Guji Zone, southern Ethiopia",$18.99/12 ounces,July 2018,Light,540-745-7338,
Tano Batak Sumatra,JBC Coffee Roasters,"Rich-toned, deeply and sweetly earthy. Chocolate fudge, white sage, blackberry, perique pipe tobacco, plumeria-like flowers in aroma and cup. Balanced, sweet-savory structure with vibrant, juicy acidity; delicate, satiny mouthfeel. The resonant, flavor-saturated finish displays notes of blackberry and tobacco in the short, plumeria and sage in the long, and deep chocolate throughout.","['Chocolatey', 'Earthy/Herbal', 'Fruity']","Madison, Wisconsin","['Chocolate', 'Sage', 'Blackberry', 'Tobacco']","Lintong growing region, North Sumatra Province, Indonesia",$18.50/12 ounces,July 2018,Medium-Light,608-256-5282,www.jbccoffeeroasters.com
No. 7 Espresso Blend,The Curve Coffee Roasting Co.,"Evaluated as espresso. Intricate, layered, richly sweet. Narcissus, dark chocolate, singed cedar, black truffle, ripe papaya in aroma and small cup. Lively, syrupy body. Floral, sweet-savory finish, with notes of dark chocolate throughout, supported by narcissus and black truffle. In three parts milk, the chocolate and floral notes are both rounded and enlivened.","['Chocolatey', 'Earthy/Herbal', 'Fruity']","Taichung City, Taiwan","['Chocolate', 'Cedar', 'Papaya']",Colombia; Guatemala,NT $450/8 ounces,June 2018,Medium,,www.thecurvecoffee.com.tw
Kenya Embu Uteuzi Jimbo,Kakalove Cafe,"Delicately sweet, richly savory. Red currant, butterscotch, fresh-cut cedar, tamarind, lantana-like floral notes in aroma and cup. Bright, sweet-tart structure with lively acidity; syrupy-smooth mouthfeel. The short finish is flavor-saturated, consolidating in the long to notes of red currant and butterscotch.","['Earthy/Herbal', 'Fruity']","Chia-Yi, Taiwan","['Cedar', 'Tamarind']","Embu County, Eastern Province Kenya",NT $700/16 ounces,June 2018,Medium-Light,,www.kakalovecafe.com.tw
DR Congo FTO Bourbon SOPACDI,Dragonfly Coffee Roasters,"Richly savory, deeply sweet. Ginger blossom, almond brittle, pear, fresh, moist forest notes, wildflower honey in aroma and cup. Structured balance among sweet, tart and savory tastes; crisp, velvety mouthfeel. The honey-toned finish leads with ginger blossom in the short and notes of pear and almond in the long.","['Spice', 'Nutty', 'Fruity', 'Sweet']","Boulder, Colorado","['Ginger', 'Almond', 'Pear', 'Honey']","Kalehe, South Kivu Province, Democratic Republic of the Congo",$18.00/12 ounces,June 2018,Medium-Light,303-579-2154,www.dragonflycoffeeroasters.com
Tarime Tanzania,JBC Coffee Roasters,"Crisp, bright, richly sweet-savory. Wild honey, black cherry, lemon verbena, hazelnut, rhododendron-like flowers in aroma and cup. Balanced, vivid structure with sweetly tart, juicy acidity; buoyant, silky mouthfeel. Resonant and rich in the finish, where cocoa also surfaces, alongside notes of wild honey and black cherry in the short and vanilla-like florals in the long.","['Sweet', 'Fruity', 'Nutty', 'Chocolatey']","Madison, Wisconsin","['Honey', 'Cherry', 'Lemon', 'Hazelnut', 'Cocoa']","Tarime District, Mara Region, Tanzania",$19.20/12 ounces,June 2018,Medium-Light,608-256-5282,www.jbccoffeeroasters.com
Kiniyota Espresso,JBC Coffee Roasters,"Evaluated as espresso. Intensely pungent, richly sweet. Dark chocolate, black cherry, almond, myrrh, star jasmine in aroma and small cup. Buoyant, silky mouthfeel; long, lingering finish characterized by dark chocolate and stone fruit. In three parts milk, suggestions of myrrh and star jasmine support the throughline of fudge-like chocolate notes.","['Chocolatey', 'Fruity', 'Nutty', 'Floral']","Madison, Wisconsin","['Chocolate', 'Cherry', 'Almond', 'Jasmine']","Buhinyuza District, Muhinga Province, Burundi",$17.60/12 ounces,May 2018,Medium-Light,608-256-5282,www.jbccoffeeroasters.com
El Obraje Geisha,Dragonfly Coffee Roasters,"Nuanced, multi-layered, richly sweet. Lavender, roasted cacao nib, salted caramel, sweet aromatic mushroom, a moist foresty hint in aroma and cup. Deeply sweet-savory in structure with bright, juicy acidity; plush, velvety mouthfeel. The finish is resonant and flavor-saturated, fulfilling the promise of the cup well into the long.","['Floral', 'Chocolatey', 'Sweet', 'Earthy/Herbal']","Boulder, Colorado","['Lavender', 'Cacao', 'Caramel', 'Mushroom']","Narino Department, southern Colombia",$35.00/8 ounces,May 2018,Medium-Light,303-579-2154,www.dragonflycoffeeroasters.com
Mandheling Onan Ganjang,Kakalove Cafe,"Deeply sweet, richly earth-toned. Dark chocolate, candy cap mushroom, gardenia, black cherry, grapefruit zest in aroma and cup. Balanced, sweet-savory-tart structure with vibrant acidity; full, syrupy mouthfeel. The crisp, flavor-saturated finish centers around sweet fruit and floral notes and an intriguing savory inclination.","['Chocolatey', 'Earthy/Herbal', 'Fruity']","Chia-Yi, Taiwan","['Chocolate', 'Mushroom', 'Cherry', 'Grapefruit']","Lintong growing region, North Sumatra Province, Indonesia",NT $550/16 ounces,May 2018,Medium-Light,,www.kakalovecafe.com.tw
Ethiopia Banko Gotiti Natural,Coffee Please,"High-toned, deeply sweet. Honeysuckle, blackberry, cardamom, tangerine zest, sandalwood in aroma and cup. Sweet-tart structure with vibrant acidity; buoyant, satiny mouthfeel. The flavor-saturated finish leads with rich floral notes and crisply sweet suggestions of mixed berries","['Floral', 'Fruity']","Taipei, Taiwan","['Honeysuckle', 'Blackberry', 'Tangerine']","Yirgacheffe growing region, south-central Ethiopia",NT $700/16 ounces,April 2018,Light,,
Yemen Microlot,Dragonfly Coffee Roasters,"Delicate, high-toned, richly sweet. Caramelized apple, honeysuckle, baker’s chocolate, tangerine zest, frankincense in aroma and cup. Balanced structure with bright, juicy acidity; buoyant, syrupy mouthfeel. The deeply sweet, flavor-laden finish leads with notes of cacao nib and honeysuckle in the short and rich frankincense with hints of bittersweet citrus zest in the long.","['Fruity', 'Floral', 'Chocolatey']","Boulder, Colorado","['Apple', 'Honeysuckle', 'Chocolate', 'Tangerine', 'Cacao']",Yemen,$75.00/8 ounces,April 2018,Light,303-579-2154,www.dragonflycoffeeroasters.com
Lycello by Ninety Plus,Dragonfly Coffee Roasters,"Sweetly spice-toned, deeply rich. Bergamot, almond, fresh parsley, gardenia, oak in aroma and cup. Crisply sweet, softly tart in structure; plush, full mouthfeel. The rich, resonant finish carries over all the notes from the cup, a nut-toned bergamot in particular.","['Earthy/Herbal', 'Nutty']","Boulder, Colorado","['Bergamot', 'Almond']","Chiriqui Province, far western Panama",$75.00/8 ounces,April 2018,Medium-Light,303-579-2154,www.dragonflycoffeeroasters.com
Lotus by Ninety Plus,Dragonfly Coffee Roasters,"Wildly, disconcertingly original. Sweetly tart, simultaneously fruit- and earth-toned, bright yet lush. Fresh clover, earth, fresh-pressed red grape juice, dark chocolate, white peppercorn in aroma and cup. Juicy sweet yet zesty and savory in structure. Full, syrupy mouthfeel. The finish is resonant and intensely flavor-saturated.","['Fruity', 'Chocolatey']","Boulder, Colorado","['Grape', 'Chocolate']","Chiriqui Province, far western Panama",$145.00/8 ounces,April 2018,Medium-Light,303-579-2154,www.dragonflycoffeeroasters.com
Karen J Red Bourbon,Hula Daddy Kona Coffee,"Rich-toned, subtly complex. Pineapple, sandalwood, jasmine, honey, cocoa in aroma and cup. Deeply sweet in structure with juicy acidity; plush, syrupy mouthfeel. The resonant finish leads with cocoa-toned pineapple in the short, rounding to jasmine in the long.","['Fruity', 'Floral', 'Sweet', 'Chocolatey']","Holualoa, Hawaii","['Pineapple', 'Jasmine', 'Honey', 'Cocoa']","Holualoa, North Kona growing district, “Big Island” of Hawaii",$45.95/8 ounces,April 2018,Medium-Light,888-553-2339,www.huladaddy.com
Kenya Nyeri Gatugi Peaberry,Moore Coffee," Richly sweet-savory, roast-cradled. Toasted coconut, black currant, tamari-roasted almond, myrrh, lavender in aroma and cup. Sweetly savory in structure with balanced, juicy acidity; buoyant, syrupy mouthfeel. The richly drying finish consolidates to notes of lavender and tamari-roasted almond.","['Fruity', 'Nutty', 'Floral']","Ventura, California","['Coconut', 'Almond', 'Lavender']","Nyeri growing region, south-central Kenya",$17.95/12 ounces,April 2018,Medium,800-994-8060,www.moorecoffee.com
Kenya Gura AA,Cafe Douceur,"Intensely sweet-tart, deeply rich. Blackberry jam, toasted coconut, dark chocolate, fine musk, fresh-cut redwood in aroma and cup. Sweetly tart structure with juicy, bright acidity; delicate, satiny mouthfeel. The quiet finish centers on notes of blackberry and chocolate in the short, musk and redwood in the long.","['Fruity', 'Chocolatey']","Tainan, Taiwan","['Blackberry', 'Coconut', 'Chocolate']",Central Kenya,NT $460/8 ounces,April 2018,Medium-Light,,
Sumatra Tano Batak,PT's Coffee Roasting,"Floral, richly earth-toned. Lilac, black cherry, nutella, moist pipe tobacco, tangerine zest in aroma and cup. Sweet-savory structure with bright acidity; velvety-smooth mouthfeel. The finish is richly fruit- and floral-toned, with amplified notes of pipe tobacco in the long.","['Fruity', 'Earthy/Herbal']","Topeka, Kansas","['Cherry', 'Tobacco', 'Tangerine']","Lintong growing region, North Sumatra Province, Indonesia",$21.00/12 ounces,April 2018,Medium-Light,888-678-5282,www.ptscoffee.com
